,brand_name,watch_name,rating,number_of_reviews,price
113,Casio,Vintage Series Digital Black Dial Unisex's Watch-A168WGG-1ADF,4.3,435,"5,295"
114,Casio,Vintage LW-204-4ADF Rose Gold Digital Dial Pink Resin Strap D213,4.4,445,"2,495"
115,Fastrack,Fastrack Tick Tock Quartz Multifunction Brown Dial Brown Metal Strap Watch for Guys - NT3287QM01​,4.3,445,"3,671"
116,TIMEWEAR,Analog Day Date Functioning Stainless Steel Chain Watch for Men,3.8,16.3K,319
117,Casio,Edifice EFR-575L-7ADF Analog Cream Dial Men (ED657),4.4,47,"8,995"
118,Casio,Casio Edifice EFK-100D-3ADR Automatic Analog Green Dial Men (ED671),4.3,19,"25,995"
119,BENYAR,Analogue Men's Watch ( Black Colored Strap),4.0,4.7K,"2,745"
120,TIMEX,"Analog Watch for Men Available in Green, Blue Dial & Multicolor Stainless Steel Bracelet Band - Water Resistant Wrist Watches",3.4,123,"6,597"
121,Casio,Unisex-Adults Vintage B640WMR-5ADF Rose Gold Digital Dial Rose Gold Stainless Steel Mesh Band D216,4.5,289,"5,575"
122,Titan,Titan Octane Chronograph Silver Dial Men Watch -NM90086KM02 / NL90086KM02/NP90086KM02,4.4,255,"9,310"
123,Titan,Titan White Dial Analogue Watch for Men (9162YL01)-NM9162YL01 / NL9162YL01/NP9162YL01,4.3,316,"4,196"
124,Titan,Titan Workwear Urban Edge Quartz Analog Green Dial Olive Green Leather Strap Watch for Men - NP1802SL04,4.4,1.2K,"1,795"
125,Casio,Vintage A168WGG-1BDF Digital Black Dial Unisex Watch Grey Metal Strap (D182),4.5,803,"5,295"
126,Titan,Titan Lagan Quartz Analog with Day and Date White Dial Two Toned Silver and Gold Metal Strap Watch for Men - NT1775BM02,4.3,518,"3,035"
127,Seiko,Seiko Analog Stainless Steel Blue Dial Silver Band Men's Watch-SSK003K1,4.5,1.1K,"40,500"
128,Titan,Neo Iv Analog Black Dial Men's Watch - NM1805NL01/NL1805NL01/NP1805NL01,4.4,514,"4,557"
129,LONGBO,Analog Business Casual Stainless Steel Decorative Subdials Watch for Men,3.9,1.1K,948
130,Sonata,Poze Quartz Analog Green Dial Metal Strap Watch for Men-SP70033SM01W,4.2,151,"1,102"
131,TIMEX,Classics Analog Watch for Unisex with Round Dial & Water Resistant Unisex Wrist Watches,4.3,595,"3,496"
132,AMERICANVIBER,"Analog Date Function Working Adjustable Lock Men Watch, blue, silver",4.2,44,388.
133,Casio,Youth Series Digital Black Dial Men AE-1500WH-8BVDF (D219),4.4,905,"2,495"
134,Acnos,Brand Digital 4 Colours Vintage Square Dial Unisex WR70ist Watch for Men Women Pack of 1 (WR70),3.8,704,265
135,Casio,Analog Black Dial Men's Watch - MTP-VD300L-1EUDF (A1751),4.4,246,"4,795"
136,TIMEX,Analog Watch for Men Available in Multicolor Dial & Silver Stainless Steel Bracelet Band - Water Resistant Wrist Watches,3.9,62,"2,518"
137,Casio,Casio Edifice EFR-S108D-2AVUDF Blue Analog Dial Silver Stainless Steel Band Men's Watch Slim Case Sapphire Glass ED602,4.8,108,"12,495"
138,Sonata,SF Digital SF Digital Black Plastic Strap Watch for Men - NT77073PP02,4.3,1.7K,649
139,Sonata,Essentials Quartz Analog with Day and Date Forest Green Dial Gold Stainless Steel Strap Watch for Men - NT77082YM05W,4.2,427,"1,844"
140,Casio,G-Shock GA-B2100-1ADR Black Analog-Digital Dial Black Resin Strap Men's Watch Tough Solar Bluetooth G1241,4.6,311,"9,596"
141,Seiko,Stainless Steel Analog Blue Dial Men's Watch-Snkp17K1,4.4,426,"17,500"
142,Fastrack,Neon Quartz Analog Black Dial Black Silicone Strap Unisex Watch - NT38003PP13W,4.2,4.2K,825
143,TIMEX,Analog Watch for Men Available in Multicolor Dial & Gold Stainless Steel Bracelet Band - Water Resistant Wrist Watches,4.6,21,"4,398"
144,Casio,Vintage ABL-100WEGG-1BDF Bluetooth Digital Black Dial Unisex (D367),4.5,31,"7,995"
145,Fastrack,Fastrack All Nighters Quartz Multifunction Black Dial Brown Leather Strap Watch for Guys - NT3165NL01,4.2,454,"3,534"
146,Casio,Edifice EFR-526D-1AVUDF Black Analog Dial Silver Stainless Steel Band Men's Watch Solid Band Stop-Watch EX093,4.5,335,"8,495"
147,Fossil,Nate Chronograph Analog Black Dial Grey Band Men's Watch,4.0,11.3K,"12,796"
148,ON TIME OCTUS,360° Spinning Rotating Car Wheels Gyro Men's Sport Watch| Black Coated Stainless Steel Chain Analog Luxury Watches for Boy's and Men,3.8,74,564
149,OLEVS,Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,3.9,3.6K,"3,800"
150,Casio,Casio Edifice EFR-539D-1AVUDF Analog Black Dial Men Watch Silver Metal Strap (EX191),4.2,2.6K,"10,995"
151,TIMEX,Analog Watch for Pair with Round Dial & Water Resistant Couple's Wrist Watches,4.5,68,"3,297"
152,Fastrack,Trendies Analog Black Dial Men's Watch NM38045PP03/NN38045PP03,4.3,2.7K,"1,915"
153,TIMEX,Analog Watch for Men with Round Dial & Water Resistant Man's Wrist Watches,4.5,15,"2,894"
154,Titan,Analog White Dial Men's Watch NM1639SL03/NN1639SL03,4.2,600,"3,155"
155,Sonata,Essentials Quartz Analog with Day and Date Silver Dial Silver Stainless Steel Strap Watch for Men - NT77082SM02W,4.3,388,"1,035"
156,Casio,G-Shock GA-140GB-1A1DR Black & Gold Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1021,4.4,348,"9,994"
157,Titan,Analog Gold Dial Men's Watch -NM1648YM02 / NL1648YM02/NP1648YM02,4.2,812,"1,695"
158,GOLDENIZE FASHION,Branded Men's Sport Quartz Watch Ninja Wheel Dial 360 Rotating Casual Fashion Stainless Steel Alloy Mens & Boy's Luxury Metal Gift Creative Watch,4.4,179,589
159,Fastrack,Analog Men's Watch,4.2,3.2K,639
160,Casio,Enticer Analog Dial Watch,4.4,1.8K,"3,394"
161,Fastrack,Fastrack Tick Tock Quartz Multifunction Black Dial Brown Leather Strap Watch for Guys – NT3287NL01,4.4,241,"3,595"
162,Titan,Neo Analog Black Dial Men's Watch-NM1733KM01 / NL1733KM01,4.3,944,"3,709"
163,Casio,Resin Youth Series Digital Grey Dial Black Strap Unisex Watch - F-94Wa-9Dg(D053),4.4,872,"1,295"
164,AMERICANVIBER,TST Black Trending Men Collection Double Tone Date Function Working Foldover Lock Analog Watch - for Men (),4.1,24,428
165,TIMEWEAR,"Analog, Day Date Functioning, Stainless Steel Chain Watch for Men",4.0,249,319
166,Casio,Analog-Digital Black Dial Men's Watch-GA-2100-1ADR (G986),4.5,647,"7,356"
167,Casio,G-Shock GX-56BB-1SDR Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1056,4.4,218,"11,995"
168,Casio,Unisex Vintage A168WA-8AYDF Brown Digital Dial Silver Stainless Steel Band D332,4.4,63,"2,995"
169,Casio,Enticer Analog Black Dial Men's Watch - MTP-VD01G-1BVUDF (A1367),4.3,1.4K,"3,775"
170,Fastrack,Quartz Analog Blue Dial Blue Silicone Strap Unisex Watch - NT38024PP69W,4.1,290,746
171,Titan,Analog Blue Dial Men's Watch-NM1698SM02 / NL1698SM02,4.3,533,"4,495"
172,Casio,Vintage AQ-230A-3AMQYDF Analog-Digital Green Dial Unisex (AD278),4.1,56,"3,494"
173,TIMEX,Analog Watch for Man with Round Dial & Water Resistant Men's Wrist Watches,4.4,55,"4,897"
174,Sonata,Smart Plaid Quartz Analog Blue Dial Silver Stainless Steel Strap Watch for Men - NT77105SM01W,4.4,569,"1,185"
175,Casio,"Unisex Resin Digital Black Dial Watch-Ws-1400H-1Bvdf, Band Color-Black",4.0,81,"2,995"
176,LONGBO,Zenith Diamond Analog Watch for Men Business Stainless Steel Watches Luxury Men’s Wristwatch | Birthday Gift for Men | Gift for Husband | Gift for Brother,4.0,205,"1,605"
177,Sonata,"Aspire Quartz Analog Dial Stainless Steel Strap Watch for Men, Black",4.1,73,"1,844"
178,BENYAR,Automatic Mechanical Watch for Men | Skeleton Dial Analog Watch | Genuine Leather Strap | 30M Water Resistant | Luxury Men’s Gift Watch,4.0,705,"3,790"
179,Sonata,Bandhan Quartz Analog Blue Dial Silver Metal Strap Watch for Couple - NS770318141SM01P,4.5,113,"2,994"
180,Casio,Vintage A700WMG-9ADF Digital Gold Dial Unisex Watch Gold Metal Strap (D171),4.4,374,"4,236"
181,Fossil,Analog Black Dial Men's Watch-FS6101,4.4,27,"13,495"
182,Titan,Titan Karishma Quartz Analog Green Dial Brown Leather Strap Watch for Men - NT1823WL02,4.2,222,"2,920"
183,Seiko,"Seiko Stainless Steel Analog Green Dial Men Watch-Srpd63K1, Bandcolor-Silver",4.6,4.9K,"27,000"
184,Titan,Analog White Dial Men's Watch-NM1639SL03 / NL1639SL03,4.1,1.2K,"1,795"
185,Sonata,Essentials Analog White Dial Men's Watch-NL77083SM01/NP77083SM01,4.2,2.1K,"1,099"
186,Casio,Unisex Vintage A168WEGB-1BDF Black Digital Dial Black Stainless Steel Band D148,4.3,291,"5,294"
187,Fastrack,Fastrack Stunners Men Analog Watch -3255NM01,4.2,1K,"1,996"
188,Armani Exchange,Armani Exchange Mens Hampton Stainless Steel Chronograph Watch - AX2164 (Black_Free Size),4.4,1.5K,"14,216"
189,Fastrack,Fastrack Trendies Analog Black Dial Men's Watch-38058PP03/NP38058PP03,4.1,853,"1,326"
190,Casio,G-Shock GA-110GB-1ADR Black & Gold Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G339,4.0,456,"9,446"
191,Fastrack,Fastrack Fastfit Quartz Multifunction White Dial Silver Stainless Steel Strap Watch for Guys - NT3227SM02,4.4,234,"3,970"
192,Casio,G-Shock GA-2300-1ADR Analog-Digital Black Dial Men Watch Black Resin Strap (G1551),4.1,62,"8,994"
193,Casio,Youth-Combination Analog-Digital Gold Dial Men's Watch - AEQ-110BW-9AVDF (AD206),4.3,1.5K,"3,516"
194,Fossil,"Men Leather Analog Blue Dial Watch-Fs4835Ie, Band Color-Blue",3.7,1.8K,"10,396"
195,Fastrack,Autumn-Winter 19 Analog-Digital Orange Dial Men's Watch NM38035SP03/NN38035SP03,4.4,942,"3,745"
196,Carlington,"Analog Men's Watch with Stainless Steel Chain Strap, Multi-Color Dial Options, Premium Gift Watch for Men – Stylish Casual & Formal Wrist Watch - CT 8811",4.3,703,"1,798"
197,IK COLOURING,Bestn Mens Luxury Skeleton Automatic Mechanical Wrist Watches Leather Moon Phrase Luminous Hands Self-Wind Watch,4.1,1.2K,"4,721"
198,Titan,Titan See-Through Skeletal Automatic Analog with Black Dial Copper Brown Stainless Steel Strap Watch for Men - 90220QM01,,,"22,895"
199,Fastrack,Mixmatched Quartz Analog Silver Dial Silver Stainless Steel Strap Couple Watch - NT33056296SM01,4.6,35,"3,276"
200,LOUIS DEVIN,WT030 Leather Strap Analog Wrist Watch for Men,3.7,3.8K,295
